Date,Description,Amount
01/15/2026,UBER TRIP 742819,24.50
01/16/2026,WHOLE FOODS MKT #10842 NEW YORK NY,87.32
01/17/2026,DELTA AIR LINES 0062145832,342.00
01/18/2026,SHAKE SHACK #291 NYC,18.75
01/19/2026,AMZN MKTP US*2K41F7,156.89
01/20/2026,UBER EATS 9F2841,32.40
01/22/2026,HILTON HOTELS NEW YORK,485.00
01/23/2026,SWEETGREEN NYC BROADWAY,16.50
01/24/2026,NETFLIX.COM,15.99
01/25/2026,SHELL OIL 57442 JERSEY CITY NJ,52.18
01/26/2026,TRADER JOES #579 NYC,64.21
01/27/2026,LYFT *RIDE SUN 1PM,19.80
01/28/2026,THE SMITH RESTAURANT NYC,94.50
01/29/2026,CVS/PHARMACY #4218,23.45
01/30/2026,SPOTIFY USA,10.99
01/31/2026,SAKS FIFTH AVENUE NYC,225.00
02/01/2026,TARGET.COM *3291,78.50
02/02/2026,UNITED AIRLINES 0167832,289.00
02/03/2026,GRUBHUB SEAMLESS NYC,27.85
02/04/2026,WALGREENS #12841,15.30
02/05/2026,UBER TRIP 851932,31.00
02/07/2026,CHIPOTLE ONLINE 2914,14.25
02/08/2026,COSTCO WHSE #1182,142.67
02/10/2026,STARBUCKS #1842 NYC,6.75
02/11/2026,HULU LLC,17.99
02/12/2026,BP GAS STATION NJ,48.90
02/14/2026,NOBU RESTAURANT NYC,187.00
02/15/2026,AMAZON PRIME*2K84F1,14.99
02/16/2026,UBER EATS 1F8432,22.60
02/18/2026,WEGMANS FOOD MKT,95.40
